HUGO_GeneName	EntrezID	GTEX-ZF2S-2026-SM-5E461	GTEX-13FTY-2226-SM-5J1ND	GTEX-WYVS-1726-SM-3NMAY	GTEX-ZVT2-1826-SM-5NQ8W	GTEX-RU72-0626-SM-46MUI	GTEX-131YS-0626-SM-5EGKL	GTEX-X15G-1626-SM-3NMB3	GTEX-1313W-0826-SM-5EQ4T	GTEX-YFC4-1426-SM-5IFJG	GTEX-131XW-0726-SM-5EGK3	GTEX-S341-1526-SM-4AD6K	GTEX-ZF3C-2326-SM-5S2MZ	GTEX-WYBS-0926-SM-3NM94	GTEX-WRHU-0326-SM-3MJFY	GTEX-ZC5H-2626-SM-5J2MG	GTEX-13QIC-2326-SM-5LU5N	GTEX-ZLV1-1426-SM-4WWES	GTEX-XUJ4-1926-SM-4BOOV	GTEX-13PL6-2926-SM-5L3I2	GTEX-VJWN-0726-SM-3GIJ8	GTEX-Q2AG-0326-SM-48U1O	GTEX-13O3O-0826-SM-5K7WE	GTEX-XMD2-0926-SM-4WWEF	GTEX-1269C-2426-SM-5FQSN	GTEX-Y3IK-2326-SM-4WWDT	GTEX-13N11-1726-SM-5J1OJ	GTEX-146FH-0826-SM-5SI8T	GTEX-RU1J-0626-SM-4WAWY	GTEX-XUZC-1626-SM-4BRVP	GTEX-WXYG-2226-SM-4E3IM	GTEX-R53T-1526-SM-48FEK	GTEX-Y5V5-2126-SM-4WWFO	GTEX-Y8LW-1626-SM-5IFHX	GTEX-ZVT4-1026-SM-57WC4	GTEX-13W3W-1226-SM-5LU4H	GTEX-12ZZX-1126-SM-5EGKB	GTEX-ZXES-0826-SM-5E43C	GTEX-ZVZQ-0826-SM-51MRF	GTEX-QDT8-0626-SM-48TYW	GTEX-1399U-1826-SM-5PNZ1	GTEX-TML8-1226-SM-32QON	GTEX-S4UY-0726-SM-4AD6X	GTEX-ZF29-1926-SM-5S2P1	GTEX-13113-1726-SM-5GCOO	GTEX-U3ZN-1926-SM-4DXSG	GTEX-133LE-1726-SM-5K7VQ	GTEX-11EM3-1326-SM-5N9C6	GTEX-14AS3-1626-SM-5S2OY	GTEX-Y114-2026-SM-4TT7L	GTEX-1211K-1926-SM-5EQLB	GTEX-Y5LM-1726-SM-4VDSX	GTEX-ZYWO-2326-SM-5GZY4	GTEX-11P81-1926-SM-5BC53	GTEX-YJ8O-2226-SM-5IFHW	GTEX-11ILO-2226-SM-5A5L1	GTEX-YB5K-1626-SM-5IFIN	GTEX-T6MO-0326-SM-32QOK	GTEX-UJHI-1426-SM-3DB9C	GTEX-ZAJG-0626-SM-5HL8X	GTEX-13D11-1026-SM-5IJFB	GTEX-XV7Q-2326-SM-4BRVZ	GTEX-T5JW-2026-SM-4DM63	GTEX-X4EP-2926-SM-3P5YQ	GTEX-XUW1-2326-SM-4BOO5	GTEX-11I78-2226-SM-5PNYA	GTEX-1117F-2826-SM-5GZXL	GTEX-XYKS-1326-SM-4BRUN	GTEX-QVJO-1826-SM-447C9	GTEX-ZQG8-0726-SM-5P9H9	GTEX-13FTX-1126-SM-5N9EN	GTEX-12WSB-0626-SM-59HJO	GTEX-ZPIC-1126-SM-5BC7F	GTEX-132AR-0826-SM-5EGK6	GTEX-SE5C-2126-SM-4BRUJ	GTEX-ZV6S-1826-SM-5NQ8D	GTEX-145ME-1526-SM-5Q5F2	GTEX-WI4N-1426-SM-3LK7H	GTEX-13CF3-2126-SM-5IFJP	GTEX-S32W-2026-SM-4AD6E
PARP2	10038	10.4019	10.6248	10.8895	9.8486	9.7599	10.5450	10.2515	9.5962	10.1886	11.5356	9.8202	9.7814	10.9873	11.0941	10.3151	10.0861	9.6777	9.0417	10.1267	10.1960	10.3729	10.0941	9.9972	10.1111	10.1636	10.4502	9.5774	9.6165	9.7814	9.9715	8.9069	9.8994	10.1293	9.9744	9.4939	10.2119	10.7682	10.0728	9.7895	10.0661	10.3783	9.4594	9.9322	9.8657	9.5314	9.8202	9.9024	9.1849	10.2167	9.3815	10.6294	9.2738	9.9469	9.8872	9.8025	9.4115	9.6402	8.9366	9.8887	9.8564	9.4818	9.8626	10.6266	9.1724	9.5887	9.1774	9.4798	9.3421	9.3487	9.3219	10.3443	9.6330	9.2143	9.1059	9.0279	9.5641	9.8842	9.0250	9.2854
RAD50	10111	11.6027	11.1949	11.7434	10.3542	10.4354	10.7846	11.3044	10.1331	11.0698	11.6325	10.9181	10.6978	11.5664	11.3907	11.4189	10.7457	10.8344	10.3071	10.7514	10.8910	10.5925	10.6257	10.3264	11.0762	11.2251	11.3603	10.8329	10.8940	10.9936	11.4752	10.6018	11.1472	11.0687	10.4073	10.6175	10.8281	11.3674	10.5622	10.4867	10.8130	11.3309	10.8368	10.7887	10.8510	10.6421	10.6970	11.2119	9.8533	11.3783	11.1208	11.3112	10.2574	11.2257	10.7004	10.9046	10.9329	11.3185	10.0607	10.3663	10.6366	10.7844	10.3815	11.2597	10.0713	10.6110	10.3230	10.5440	9.7814	11.0327	10.8353	10.5409	11.1535	10.7339	10.3718	10.5774	10.8564	10.9851	10.9128	10.5632
KAT5	10524	11.0108	10.9704	11.2403	10.7264	10.6232	10.9235	11.0385	10.1865	10.5908	11.2637	10.7014	10.1532	10.7505	11.2266	11.0622	10.4465	10.5370	10.1235	10.8165	10.5422	10.4751	10.9149	10.9002	10.5597	10.5174	10.5532	10.3119	10.4486	10.3307	10.8638	9.9050	10.5864	10.7380	10.7632	10.2916	10.4064	11.1802	10.3910	10.3232	11.4786	11.0647	10.3202	10.4297	10.5170	10.4404	10.6872	10.8850	10.9346	11.1357	10.4137	11.1939	10.4772	10.3436	10.4842	10.2634	9.9607	10.5397	10.0866	10.3728	11.1020	10.1160	9.7640	10.9619	10.0257	10.4076	10.2027	9.9081	10.2123	10.2499	10.1595	10.2537	10.3698	9.7957	9.9516	10.2954	10.0014	10.5607	10.2401	10.1839
HELQ	113510	9.7142	9.1599	9.7846	8.5850	8.8297	9.0224	9.6221	8.5925	9.1599	9.5925	8.7944	8.9396	9.4757	9.0821	9.8281	8.9067	8.7177	8.6511	9.2095	9.1749	8.5736	8.8517	9.0389	8.9366	9.2119	9.1898	8.9542	8.9009	8.6073	9.5736	8.5850	9.3576	9.0795	8.7682	8.3707	8.5962	9.2808	9.0928	8.8170	9.3531	9.5236	8.5962	8.6795	8.8074	8.7347	8.9337	9.3242	9.2877	9.1659	8.9454	9.6865	8.8392	9.2479	9.1344	9.0140	8.4305	9.2312	8.2046	8.7245	9.2021	8.6475	8.0000	9.7731	8.3880	8.4919	8.5236	8.7482	8.3487	8.8948	8.9887	9.3376	8.8918	8.5196	7.8826	8.5925	8.6970	8.8361	8.6221	8.7944
RMI2	116028	6.4919	4.7549	6.9425	4.3219	5.3219	6.4429	6.0661	3.8074	5.4594	7.2946	5.2479	5.6147	7.4009	6.4263	7.2854	6.2479	4.8074	3.8074	6.8202	5.2479	6.3576	4.5850	4.7004	6.1699	4.8074	5.9307	5.2854	5.4594	3.7004	4.9069	4.0000	5.0000	4.6439	3.4594	3.7004	5.3576	5.2095	5.7549	5.2854	4.9542	5.5546	4.0000	4.3923	5.6724	3.9069	5.4263	5.4919	3.9069	6.4094	3.9069	5.1699	2.8074	5.8580	5.1699	5.7279	5.0000	3.7004	2.8074	5.0444	4.6439	3.3219	6.7415	5.2479	4.5236	3.0000	5.3576	5.2854	4.4594	5.0444	3.7004	5.9542	5.3219	5.2095	5.3219	2.0000	4.7004	4.3923	1.5850	4.7004
PARP1	142	11.8857	11.2603	11.7381	10.9708	10.7810	10.9469	11.2976	10.4696	11.3619	11.2744	11.1299	10.8114	11.4268	11.5999	12.1621	11.0154	11.2720	10.6926	11.0668	11.0580	10.7607	11.5362	10.9979	11.3565	11.4089	11.3504	11.6935	11.4398	11.2831	11.5546	11.4486	11.5493	10.9372	10.3332	10.9823	11.1434	11.4030	11.0546	10.9315	11.5483	11.6878	10.9758	10.6321	11.0841	10.8757	11.4299	11.2929	11.1836	11.4924	11.5083	11.0042	11.1855	11.4113	11.1743	11.6528	11.2808	11.3982	10.4767	10.8925	11.4909	11.7266	11.0007	11.6362	10.6926	11.1636	11.0928	11.2732	10.3520	11.8289	11.7022	11.2186	11.3259	11.5555	11.0908	11.0654	11.1755	11.2119	11.2644	11.1325
EME1	146956	5.9937	4.9796	6.1831	4.8324	4.6809	6.2944	5.6769	4.0215	6.1243	7.4417	4.9887	4.2758	7.4735	6.3813	5.2758	5.2574	5.2596	4.6058	5.7120	5.1795	5.9158	5.1538	4.6177	5.2422	5.2559	6.1187	5.1534	4.7772	4.5084	4.4796	3.7268	5.5264	5.9950	5.4333	4.4243	5.2048	5.9083	5.7679	5.4571	5.2357	5.3377	4.4229	5.0157	5.4692	5.4851	5.2059	4.4880	4.1194	5.3968	5.0330	5.4653	4.4168	5.8679	4.2653	5.6968	4.6165	5.2192	4.2540	4.4195	5.0824	4.4925	7.2576	5.4323	4.7236	5.2012	4.5398	5.4777	5.1591	4.7214	4.2795	5.8639	4.7071	5.0400	5.3107	4.6165	3.3674	4.8258	4.7350	4.3060
PPP4R2	151987	10.8047	10.2843	11.2260	10.1860	10.5826	9.6766	10.3256	10.6507	10.4594	10.4892	10.3306	10.5366	11.0175	11.1480	11.0304	10.5996	10.1565	9.6851	10.3394	10.9447	10.2015	10.7182	10.5036	10.3363	10.3099	10.5319	10.5380	10.4568	10.2195	10.8247	10.3973	10.5349	10.3657	10.4602	9.6554	10.2950	10.7933	10.2771	9.9829	10.5184	11.0573	10.1214	10.3175	10.3425	9.9295	10.1542	10.4163	10.2597	10.7231	10.4164	10.6402	10.2690	10.4296	10.4886	10.4621	10.4365	10.9762	9.6801	9.8011	10.1530	10.3717	10.0774	11.0152	9.8056	10.0831	10.0764	10.5783	9.6126	10.5654	10.6089	10.4562	10.6119	10.1605	9.8304	10.1480	10.8424	10.5930	10.4247	10.2379
HFM1	164045	5.7279	4.7549	6.2479	4.7549	5.7549	5.3923	6.1497	5.5850	4.1699	5.5236	4.8074	5.4263	5.1293	7.1799	5.5850	4.8074	4.8580	5.8580	5.1699	4.9069	5.2479	6.0000	5.2854	4.5850	5.9773	5.6724	5.5850	4.0875	2.3219	6.8202	5.7814	4.9069	6.1293	5.0875	5.1699	5.6147	5.0000	4.8580	4.9542	5.5236	6.4263	5.5236	4.8580	4.9542	4.6439	5.8329	6.3038	4.6439	6.6294	5.6439	6.1699	5.0000	4.7549	5.8074	5.7004	5.0444	5.3923	4.8580	6.5392	5.2479	6.3576	4.3219	6.5392	3.8074	4.1699	4.9069	6.3219	4.7549	4.9542	5.7279	6.3923	6.3219	4.7004	4.3219	4.9542	5.3576	6.4263	5.9307	6.1293
DNA2	1763	7.5236	7.2384	7.4512	5.5850	6.8455	6.1293	7.1189	6.2095	7.3399	6.7142	6.6294	6.3219	7.8265	7.3750	7.5157	6.5078	6.9542	6.4594	6.2479	6.6439	5.3923	6.5999	6.8948	7.0553	6.1293	7.3129	7.7549	7.5850	7.4263	6.7549	8.4798	7.2192	5.7279	5.1699	6.1898	6.3750	7.4009	6.2479	6.0000	6.4094	7.2668	5.8074	6.2095	6.6439	6.8329	6.6865	6.5850	5.5850	5.6724	6.0224	6.5699	6.6582	7.2095	7.5157	7.0875	7.3487	7.5774	5.7549	6.5078	6.4757	6.9189	7.2854	6.8455	6.9189	7.3399	6.6724	7.0224	6.4429	7.2095	7.8887	5.9542	7.1293	7.6511	5.3923	6.9542	6.9425	6.5236	6.3038	7.3487
